X;Vigenere_r1;Vigenere_r5;Vigenere_r10;Affine;Uniform;Recursive
вгенборисі;фхшеуєзяиа;зоєдмхвізц;юнусгґсіне;ехмчрйоцґї;єґпсзаоіщн;йнькіхгшюц
впосмертна;цизїєьійжф;нпкцмсрота;іуиїквйжзґ;ьдтґушсрею;шйямцмїхач;новртзюєдї
згадкадода;ніжйтжйцйж;оиефезїффх;їкзцбгвнрї;дящїсщїкїщ;аєцізмачґи;нзцвшьхткг
ющекількас;цфбзеихзшм;йвьбкьгдрф;езажисйьоп;змкпйящпві;йкїпсютчін;доужюеґикф
лівівідсеб;дбхбхбшіщф;сушгфннкюу;укчплїґґшд;фцкцкцщсїю;ціойьлгкрп;гийугцщтоє
еєборисова;юяциївйичх;тбнємцлбфщ;ухйлйедбфі;рьгжшчджйц;дпїтюяьвїо;ьєґілцжбзи
япізнавурк;тзбяєухйиґ;зіюнщичишц;жтькбярфдл;ьшзщлрасої;йуоауїсифа;ржшгюбяаяя
оливіннетя;вячпшббуем;пухатохсри;цдраксвеіі;ихнфїллґуе;іхвтьяфчкк;кмьйиуаууй
мнозякоюме;єжзаудзтєь;ішґїцзщнпа;аьяяждмїчє;цюгфємгвцз;рцшводсжьч;йпяонвпсєш
тоюпробува;окчлмкьпющ;гбючцянуие;тпмхвичфьі;вбщцобдчьй;гдзгйбстжв;мялкщиемтд
вкількатиж;оьчюйьмдцф;єшлижпкцдп;огзнщшяфіж;ьїамиїтіщс;жхєтрлґмью;іпьмйщздкп
нівульвові;щуквчзкьку;тдрубвщгвь;вмеєумьцєк;івдрпхдєдв;ньчнзноддт;ььчфозчгьа
тодіяразом;шфіндцелфт;йтєбііґіжш;мямимпбшлю;йьіврдфчьт;єйясяаїшюґ;цеядґзйтвф
здпавликом;снюїкчтцьш;хкфбмюпппь;щрочткоєіч;уфґнадюьщй;ьсягчлііьп;ріюзємуещв
редагувавг;жчцсфіусуф;хщшмшшхуош;зрйґчгхутб;тепоїмхохї;аеіяннрбнс;щтоєхяфукґ
ромадський;мкїщбнциез;ьцфгююдтйе;зфзппоєїлб;йжгщхядюсї;ахокршчщуж;яцхоишдадд
другякогок;алоючзйюйз;еоцзплмефб;пііхчявкдй;єиґіпткікт;уаззейршбж;ощкифбхцоі
ожнакнижка;нємяймзєйя;мвлфзлґедш;лчукозехсх;чхєьйєяхйь;їокршчхздґ;ярпехюусія
булаконфіс;цлєхеизмгй;бчбшмосиеу;лпбвшлєаим;йвчїцьщгуа;єнчкщїлгєс;епхігкнюлй
кованаіяки;шямкюкхйшф;хсяліікщщґ;вртлвщеимп;їяожчжьгїх;нґеофьаияф;хзбиісярпе
йнаслідком;ягпєбьфаґв;їцгвйикняк;футаїюеюаф;щїишґсьамж;кмтжлтжзлн;ґчюхулдрхї
тоговдругі;чужуєихшжм;єпаґнусртц;шєїїнйаюрт;онднйтбидє;ґтавелщюєг;фїглоаоогс
йполовинір;тшчфчіпцрщ;дтнужчймпи;зжрхґввнір;щцишиокчьз;кутшсемїпж;аггезлфеьг
окувиходив;хсьзняхїнз;яіндделяйь;дуєамьвтхр;гпмбвжгтвб;шґипупййґи;сіяизпшкзу
уформіальм;мнійзґцжуз;лмгмргхацр;пиаабббфзє;лкротчдужт;іщбппюбтас;шхрїяіисюп
анахівдзві;щйщсєюбдює;кжмубмщхаб;кочґдоєечм;ецемнржгрн;гьцтґееалї;нпгтхкерцй
німолотєбо;пйорнрфзгр;ґхвоедгцбз;єґжщждєгйл;ядаюбючзлю;рюклйлиюгу;гьаььчфозч
рисівдужез;юсятймбпнр;алмюиошгцн;узєзєвєщах;хщотпюґифг;щцмрьфххої;уґчюхулдрх
ацікавився;ґьлоґекехг;тієжщфшюлш;єжзщоеойлв;щьочщфґфцл;огшвнцалфґ;ощкифбхцоі
нашимділом;войшбущагб;ркшшнжхлгн;єьлдщшлфгє;антєбїевяб;тщьууьтїжо;вщючхпіьжд
написавдля;написавдля;люнуаюагші;кіуьщецкґя;доптаоярфі;зььаяатщюч;ртзюєдїнщй
нашоговида;войгсгршуо;ркюузсмйие;ьядґділеец;шлнсчсбійл;бцжхгзчюхг;ьіжпчйєрчк
ннястаттюп;лльпрюррщн;ултзмерїпй;іояєзйгфїб;ррубсиссгч;пмєїлжнзнщ;йпяонвпсєш
рочумацтво;ваздюлжґна;епьлипчхчї;зшсїхблхлт;рсавтьнпщс;еяґтюєєчіп;уриьєґілцж
ікореспонд;ийнпдронмґ;яьхрнзвхнм;ясожеузбшз;враучошадя;дшсихкзйяь;кгнрґфшпка
енціюпросе;ітюмгфхуці;цургщецїйґ;їюєзиьяурґ;дмпхефшряд;июгиоґцито;юшцсквмобп
ктиічастен;щґхцзлгґся;хшєьсічпхі;гпшгкґшґро;чтйауівтяс;тюьюзнрвтр;біїувхчпйя
ькорозмовл;теиїибжичє;кцщмуцшщюр;єєяхщфпкфф;гплйлфнлюо;мґаоцлґйоґ;дпфибіїувх
явзнамипро;ймуюкьфабя;гвагїрииеь;ершвмоішук;фоґстувнлп;вїпкірємхд;ґзйтвфцнич
галицькііу;щцжгпуєґґм;ппджкйабзі;бйґтбфачан;івксхцтййм;еґйрфвмґгщ;гчьфсїаїїф
країнськід;еїхґзйтегь;цтнвцаяюбк;бнґатахефь;кдфецзїкві;иоожбмдцкм;щащщхсйбкл
ілавінбувч;ювртюґситк;аюахпенухв;анухюрйьев;їґбьїаясьй;дябіьщтейш;ґшячцрйайй
оловіквесе;вявпшюпуду;чмсйаугзяш;жгрлазкшдґ;елеимєизьз;ачфвшрзаїг;ґдзкуґчюху
лийдержавс;ґявчшзьтфи;іїьвжминяу;алуяхжцеье;мвнсґьгєей;щоюнюрєшуж;яґгєинчідм
ебесвобідн;смсгнамцря;лйжокчййвщ;їезбюххґйя;їяїошьяхмб;оврдйшзінф;нчідмсґхщс
оалеколиро;удріпурлху;єфвсиєеьвк;увчбеецвус;очгфрогтно;тацеьяцнуф;бгґєіощкиф
змовазаход;жлнбяжяфнґ;йфсшуйжшіш;гбіьндигфз;чґсначаюсц;ньмкєбькзї;іщєгийугцщ
иланадорог;вєхзхьиїиш;оихййййїкм;ежцмєзпщчщ;ещцхцмупур;нрзгнщчфхм;юхулдрхїґм
ійомутемио;жилйрпгйєл;ххвїюгоаец;тґннювумрг;яьхчрсґчах;ґййєзжквцб;шґягвдєїпю
живлювався;ежайщаюапь;щльаоудьеп;жзрпбббмти;вєргирлрощ;рвйсомаиєс;єфютрзщдбе
іговоривпо;рїчічщпішч;мжюобхллвб;дічійшьшчє;їитотерокт;нгудзкщнвї;ьюшцсквмоб
важнозсиль;кїрщьсатчз;яаткхесфїґ;лшжлштвйсю;всіжлогхча;шьньучжшяб;єяедімчиґк
нимперекон;звжіюїюеиз;дгаїчжяюід;жоюйкттмнз;узсчбщбнху;йсцхафиєує;ущплбмнанн
аннямшвидк;рґґпглтьхб;шїогсуьізп;гфюпноуадґ;гґґбвцєуйю;чшкхґпіьпо;шгюбяаяяюь
опойогопов;бвбщбпбвбо;єьнйгхщоор;ьмеюбрзота;їрїдїфїрїм;ччсстлоффґ;юеґикфдщбь
оротінаукр;ійілґицмєй;вшллчбжрєг;кбььпьмісі;тжтчдщмрнж;єіущвьнчрв;дчяцхоишда
аїнуйогопо;ряґиадудед;дщуєґурфгз;жбоґацлцел;юбдулпєпап;кійквдєьрх;нсдцюфтйвл
стиглавідо;шщнитєзоїх;ртцбфявчгч;жеокцввгкґ;єжщтбпсьфґ;вргчисьфєл;вежктгхшрл
макатастро;цифияиюяьш;щфрюмйїшої;щхііьщйжїз;ькшкгквгбя;дтешчтщтюц;спєцаццпїю
файогоареш;чгмсесгузю;лиялдзиегь;зшеротогну;лецсгсепаі;шбзаоасули;аззочїеофз
тувалиіпог;еєпнячшгвр;пжгєчєщрхл;якузлекчлї;щбшочвєкза;їтихчьґтхя;цьуриьєґіл
налидоякут;яльхракщдґ;шйшсґщїчбс;ьльхзїежмш;еєирьґзїчщ;ифкжфньчсі;яфукґотєщг
ськанамопо;бичйьйщюяю;сярїщаофюь;учгзцжяржщ;ишобфбіґнґ;буйббчршґґ;ґшячцрйайй
відалищопр;кунїчтжьюя;кншхжтвжій;ежщьнсьхмя;зоїєтнгхцч;пчєаґушдяч;ттіаіітатт
ойшовшипое;бщібоіцвбт;сшзлзюхалй;офоккжґуін;югсюксеьюи;їюицюєйихн;їчеаееїоьл
тапусюдале;фвсхуаєвнж;фмвгаасмшо;ифтґййзвфш;исґуьшрсоа;ііяубюфйна;бйкчжвиїтб
кудорогущо;бихдєдуимд;фґьрушнлюс;зшщнецсюір;чогусудоїу;йхфсяіпгхь;хйдоужюеґи
сьверстовв;яжйнюяащйй;іяіуьіфчпї;мпґеїаиґеш;зоучжзиеуу;зєичжкнфчч;лесчлзфафф
інзаставуж;ущсїабїквр;нтвпсшдшзж;юнвчхезґьд;фїшйґвйзаь;ціяжвмкьир;чоїьзелсгф
евякутську;шфсгїіипгї;бнффзнгтфз;емяййриаюф;ьєюиґузгиґ;еіяїхілваф;уцмзхбцчрк
папірякимв;лщлємшиеїю;суєлябґюрк;ляюшєзїсьо;вмвчгльцяо;биюащлрхжт;чслгосечач
еленоверну;азаіїщакін;оиєггкбсгж;йбкйьчдеоґ;слсяфрсжян;йсщєяоищшг;ьрнґсхйдоу
тийогоназа;асфщкщшірі;фхцціряйнж;жксеяоєґдє;шєґякяанжн;лсскрчбдої;фибіїувхчп
днаукраїну;єпвхмтвкпх;ицилрхзтзщ;чщьщсзгмцо;двюніцюшвн;ейєрбеіййж;лжуюспєцац
ійомудовел;єзкїпбкюві;щібчюумону;уеябґоужищ;уичєіщчяеь;гхдщгззшфр;мьйиуаууйг
осятакимса;нрюсяйзлря;хзвхпсюпфп;жкрсодафґл;бєщзюцоьєю;ипцввснйюч;гшюцфнжхах
мимробомве;дядзєуєдфш;ґрибчтшимл;оіскмдигді;юпюевбвюгі;яияьуларос;йчєбжзнциг
ртатишляхі;ежпжщкбоіь;хсємьакепю;гґжкьафґви;міаіжщїпрт;жеєфіжмявз;удшашшуожц
зякутськас;ґчзонмхзшм;тмстьбксящ;ьвсдйкгйпн;южцнопицєп;знюяґдшбие;шлихвчщупз
япішапрогу;дхнбехцфзщ;еєлжщцжтмп;иьнобфшдцж;кйрбзйжочц;нґмщеюндьм;ещвюаюющчу
лкадоякутс;поґзтгочцх;мпцзиапмцй;ягзфкфвсйя;дскауьсзхж;нмшюїґкугз;нгруиаиирь
ькатаміназ;сдфйфєвжфа;ціжаґїжхій;хсбафяійрщ;цхрзрсюпрв;чйялімчьур;їіубфхмжфя
адразомзча;вєтвіроіщв;тлуїцєцїен;зїїїуьггґї;кїекнрбнук;свбщфжруґу;ншїєпцїднт
сомякиййог;тпналіккпґ;викдофдіфє;жщнадоувсб;ьїтжяпґґїс;оттріючяфф;гцщтоєхяфу
одержановт;дхцєшрґдтз;югіцшйлужз;нїфлтівхмп;хїйчлєфхзщ;зсмийппунт;оужюеґикфд
юрміукрала;фйзґмєйцжц;цнмафзнаґб;іинїйтщхлє;чдсжцщдпхп;зєлссбфущш;їглоаоогсф
уборисоват;шеухлцуєдч;жшгрйеїрах;ринєїбшдрн;йфцбчдцшрз;ндхзжуєтин;яутїбйкчжв
рирокичасу;ожомїжхюпс;щиятопчїхч;єсткюізхвп;іпіещпїчьв;ьгґчцузячґ;єтщокяйїхґ
